,evi
2012-02-18,0.1071
2012-03-05,0.1211
2012-03-21,0.19390000000000002
2012-04-06,0.1184
2012-04-22,0.24330000000000002
2012-05-08,0.1424
2012-05-24,0.2184
2012-06-09,0.1678
2012-06-25,0.15560000000000002
2012-07-11,0.2059
2012-07-27,0.23550000000000001
2012-08-12,0.22590000000000002
2012-08-28,0.1963
2012-09-13,0.1678
2012-09-29,0.1531
2012-10-15,0.1645
2012-10-31,0.2543
2012-11-16,0.1713
2012-12-02,0.17700000000000002
2012-12-18,0.1574
